sample1,sample2,bMNTD,BC,bNTI,RC,process,grupo
S6A07,S1A1530,0.029167289965553456,0.7235902160095427,-3.046262849858657,1,Homogeneous.Selection,All interiors (pooled)
S6A1522,S1A1530,0.028419441226975536,0.6942163140013398,-2.975974045992217,1,Homogeneous.Selection,All interiors (pooled)
S6A3040,S1A1530,0.03351868461120816,0.7158028454009957,-0.27364288673791887,1,Dispersal.Limitation,All interiors (pooled)
S6B07,S1A1530,0.036615634152133106,0.7593172256722606,-2.3035786840390355,1,Homogeneous.Selection,All interiors (pooled)
S6B1522,S1A1530,0.02901948247295708,0.7243689549823088,-3.3363698095344323,1,Homogeneous.Selection,All interiors (pooled)
S6B3040,S1A1530,0.027281415582550747,0.6852617815114277,-1.256260434192438,1,Dispersal.Limitation,All interiors (pooled)
S7A07,S1A1530,0.01939183948890222,0.6617650405746482,-4.060580384018549,1,Homogeneous.Selection,All interiors (pooled)
S7A1522,S1A1530,0.027461041785327024,0.6699830576736492,-1.657991455107851,1,Dispersal.Limitation,All interiors (pooled)
S7A3040,S1A1530,0.030946283477097013,0.6929993450354028,-0.3377949114899452,1,Dispersal.Limitation,All interiors (pooled)
S7A5060,S1A1530,0.045606279127454075,0.7316935010997346,1.2508422132395418,1,Dispersal.Limitation,All interiors (pooled)
S7B07,S1A1530,0.0279730747743258,0.6931571631223785,-2.8776713283778337,0.997997997997998,Homogeneous.Selection,All interiors (pooled)
S7B1522,S1A1530,0.020978214313416517,0.6493499798137642,-2.858445611707955,1,Homogeneous.Selection,All interiors (pooled)
S7B3040,S1A1530,0.02207651312468423,0.6726271477952362,-2.098260656518178,1,Homogeneous.Selection,All interiors (pooled)
S7B5060,S1A1530,0.02424058947997218,0.6879281503202802,-1.2440255420665776,1,Dispersal.Limitation,All interiors (pooled)
S1A5075,S1A3050,0.0024963456302703364,0.31816307579966274,1.0063488369270046,-0.95995995995996,Homogenizing.Dispersal,All interiors (pooled)
S1B07,S1A3050,0.008131777773193094,0.5902623306137771,-1.169492766261065,1,Dispersal.Limitation,All interiors (pooled)
S1B2230,S1A3050,0.028911701368805706,0.6817477935897354,5.391941215008748,1,Heterogeneous.Selection,All interiors (pooled)
S1B3040,S1A3050,0.06869959207345279,0.7946414302553207,9.151508338699774,1,Heterogeneous.Selection,All interiors (pooled)
S1B6575,S1A3050,0.04492904243782885,0.7565152378505132,5.688667366874209,1,Heterogeneous.Selection,All interiors (pooled)
S2A1727,S1A3050,0.041444163365776325,0.6985419841351204,6.956085499913541,1,Heterogeneous.Selection,All interiors (pooled)
S2A3545,S1A3050,0.028749136567269885,0.6760152430312348,5.740714363858427,1,Heterogeneous.Selection,All interiors (pooled)
S2A5060,S1A3050,0.03329758300438185,0.7216662310187777,5.029380372543402,1,Heterogeneous.Selection,All interiors (pooled)
S2A515,S1A3050,0.03282513659073522,0.648978660943525,6.200311214435955,1,Heterogeneous.Selection,All interiors (pooled)
S2B07,S1A3050,0.015039499418836262,0.5423094401555989,2.884896336650641,0.927927927927928,Heterogeneous.Selection,All interiors (pooled)
S2B1522,S1A3050,0.030337761047763485,0.6491532212667817,7.7299155279351695,1,Heterogeneous.Selection,All interiors (pooled)
S2B3040,S1A3050,0.03314383193280838,0.7184713930005673,6.2157796576748785,1,Heterogeneous.Selection,All interiors (pooled)
