"ASV","Location","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"AJ704688.1.1528","Fossil Lagoon","d__Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485",NA
"AM992695.1.1108","Fossil Lagoon","d__Archaea","Asgardarchaeota","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","uncultured_archaeon"
"HM558334.1.1392","Fossil Lagoon","d__Bacteria","Desulfobacterota","uncultured","uncultured","uncultured","uncultured","uncultured_sludge"
"KM454360.1.1362","Fossil Lagoon","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"KX097504.1.1513","Fossil Lagoon","d__Bacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","uncultured_bacterium"
"KC554587.1.1510","Fossil Lagoon","d__Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","IMCC26256","IMCC26256","uncultured_Acidimicrobiia"
"JN672203.1.1254","Fossil Lagoon","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","uncultured",NA
"JN457572.1.1385","Fossil Lagoon","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2",NA
"EU385706.1.1476","Fossil Lagoon","d__Bacteria","Nitrospirota","Thermodesulfovibrionia","uncultured","uncultured","uncultured","uncultured_bacterium"
"JX222000.1.1519","Fossil Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","uncultured",NA
"HE817859.1.1470","Fossil Lagoon","d__Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","metagenome"
"MG601388.1.1502","Fossil Lagoon","d__Bacteria","Dependentiae","Babeliae","Babeliales","Babeliales","Babeliales","uncultured_bacterium"
"FJ655694.1.1398","Fossil Lagoon","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","uncultured_archaeon"
"FJ484702.1.1364","Fossil Lagoon","d__Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","RBG-16-49-21",NA
"AF317742.1.1506","Fossil Lagoon","d__Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Calorithrix","unidentified_bacterium"
"AB488308.1.1411","Fossil Lagoon","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae",NA,NA
"JQ716270.1.1524","Fossil Lagoon","d__Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured",NA
"AY592049.1.1235","Fossil Lagoon","d__Archaea","Aenigmarchaeota","Deep_Sea_Euryarchaeotic_Group(DSEG)","Deep_Sea_Euryarchaeotic_Group(DSEG)","Deep_Sea_Euryarchaeotic_Group(DSEG)","Deep_Sea_Euryarchaeotic_Group(DSEG)","uncultured_archaeon"
"AB189692.1.1315","Fossil Lagoon","d__Bacteria","Chloroflexi","Dehalococcoidia","vadinBA26","vadinBA26","vadinBA26","uncultured_bacterium"
"FJ358923.1.1517","Fossil Lagoon","d__Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10","uncultured_Acidobacteria"
"KC437202.1.1235","Fossil Lagoon","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",NA
"KT122181.1.1544","Fossil Lagoon","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"MH745860.1.1200","Fossil Lagoon","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"FJ545637.1.1546","Fossil Lagoon","d__Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","SG8-4",NA
"KF494737.1.1489","Fossil Lagoon","d__Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae",NA,NA
"DQ811803.1.1524","Fossil Lagoon","d__Bacteria","Myxococcota","Polyangia","MSB-4B10","MSB-4B10","MSB-4B10","uncultured_delta"
"AY592491.1.1265","Fossil Lagoon","d__Archaea","Aenigmarchaeota","Deep_Sea_Euryarchaeotic_Group(DSEG)","Deep_Sea_Euryarchaeotic_Group(DSEG)","Deep_Sea_Euryarchaeotic_Group(DSEG)","Deep_Sea_Euryarchaeotic_Group(DSEG)","uncultured_archaeon"
"JN526764.1.1374","Fossil Lagoon","d__Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","uncultured_organism"
"FJ716421.1.1530","Fossil Lagoon","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081_sediment_group",NA
"FJ901592.1.1390","Fossil Lagoon","d__Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485",NA
"JQ672628.1.1479","Fossil Lagoon","d__Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Aestuariicella","Pseudomaricurvus_alcaniphilus"
"KM356947.1.918","Fossil Lagoon","d__Archaea","Asgardarchaeota","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","uncultured_archaeon"
"AB694350.1.1419","Fossil Lagoon","d__Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j","uncultured_marine"
"KM823748.1.1491","Fossil Lagoon","d__Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031","anaerobic_bacterium"
"EU592448.1.1469","Fossil Lagoon","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"KR559989.1.1483","Fossil Lagoon","d__Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA,NA
"DQ270650.1.1476","Fossil Lagoon","d__Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured",NA
"HQ588514.1.1412","Fossil Lagoon","d__Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_23","uncultured_bacterium"
"EF515944.1.1487","Fossil Lagoon","d__Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured","uncultured_bacterium"
"EF999369.1.1522","Fossil Lagoon","d__Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22","uncultured_organism"
"AB525449.1.1407","Fossil Lagoon","d__Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031","uncultured_organism"
"KX172571.1.1482","Fossil Lagoon","d__Bacteria","RCP2-54","RCP2-54","RCP2-54","RCP2-54","RCP2-54",NA
"KM396664.1.1391","Fossil Lagoon","d__Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospirae"
