n_nodes	n_edges	density	average_degree	max_degree	components	largest_component_prop	transitivity	natural_connectivity	average_path_length_lcc	modularity_louvain	prop_positive_edges	mean_abs_weight	robustness_auc_random	robustness_auc_targeted	dataset	network_group	bootstrap_id	n_samples_group	n_subsample	edge_density_target	ridge_lambda
200	398	0.02	3.98	25	83	0.58	0.496901408450704	6.44319804772075	3.66461769115442	0.649806823060024	0.736180904522613	0.0373489852106798	0.23725	0.0755	depth_natural	Coastal_natural	52	13	13	0.02	0.1
200	398	0.02	3.98	25	81	0.56	0.452830188679245	5.83606750599325	3.41296653796654	0.603640059594455	0.846733668341708	0.0413496148721794	0.23925	0.0735	depth_natural	Coastal_natural	53	13	13	0.02	0.1
200	398	0.02	3.98	16	93	0.4	0.772913385826772	6.55065502265158	4.67310126582279	0.779579429812378	0.841708542713568	0.0330514290222704	0.12525	0.06975	depth_natural	Coastal_natural	54	13	13	0.02	0.1
200	398	0.02	3.98	20	83	0.58	0.515654952076677	5.42301585022598	3.82308845577211	0.677504987247797	0.753768844221106	0.0367139171859921	0.24175	0.09725	depth_natural	Coastal_natural	55	13	13	0.02	0.1
200	398	0.02	3.98	16	89	0.43	0.612459783562445	6.83821101649886	3.61586867305062	0.705001136334941	0.816582914572864	0.0379911639145016	0.17125	0.07225	depth_natural	Coastal_natural	56	13	13	0.02	0.1
200	398	0.02	3.98	15	109	0.305	0.856699430936368	8.58999276692407	4.99726775956284	0.769166182672155	0.85929648241206	0.0344418723638072	0.097625	0.048375	depth_natural	Coastal_natural	57	13	13	0.02	0.1
200	398	0.02	3.98	19	47	0.695	0.379127134724858	3.90981460152442	3.68095089146074	0.674875634453675	0.793969849246231	0.0453893889826835	0.286875	0.094875	depth_natural	Coastal_natural	58	13	13	0.02	0.1
200	398	0.02	3.98	26	63	0.515	0.634782608695652	5.7948619790205	4.02113078241005	0.82422161056539	0.886934673366834	0.0378858362159621	0.188625	0.046625	depth_natural	Coastal_natural	59	13	13	0.02	0.1
200	398	0.02	3.98	22	48	0.64	0.454332552693208	4.59378695045406	4.04318405511811	0.745271584050908	0.861809045226131	0.0420408255840893	0.25475	0.08975	depth_natural	Coastal_natural	60	13	13	0.02	0.1
200	398	0.02	3.98	24	62	0.64	0.449742710120069	4.74712046379778	3.83968996062992	0.686706143784248	0.685929648241206	0.0390885084738127	0.255	0.1075	depth_natural	Coastal_natural	61	13	13	0.02	0.1
200	398	0.02	3.98	18	60	0.665	0.343738914508691	4.23034621795485	3.53850535429483	0.598138304588268	0.736180904522613	0.0418626279020483	0.291125	0.088625	depth_natural	Coastal_natural	62	13	13	0.02	0.1
200	398	0.02	3.98	19	39	0.745	0.407376362112322	3.76197987387891	4.16987121349537	0.702636928360395	0.78894472361809	0.044536518720435	0.318125	0.144875	depth_natural	Coastal_natural	63	13	13	0.02	0.1
