dataset	group	mode	removal_fraction	n_boot	mean_largest_component_prop	median_largest_component_prop	q25	q75	q025	q975	dataset_label	group_label	mode_label
interior_impaired	Coastal_impaired	targeted	0.45	500	0.01634375	0.015625	0.015625	0.015625	0.015625	0.03125	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.5	500	0.01565625	0.015625	0.015625	0.015625	0.015625	0.015625	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.55	500	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.6000000000000001	500	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.65	500	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.7000000000000001	500	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.75	500	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.8	500	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.8500000000000001	500	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.9	500	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Interior_relict	random	0	500	0.4455	0.453125	0.40625	0.484375	0.328125	0.53125	Interior vs coastal impaired	Interior relict	Random removal
