dataset	dataset_label	group	group_label	bootstrap_id	metric	value	metric_label
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	18	natural_connectivity	1.018529535674475	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	18	robustness_auc_random	0.10035714285714288	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	18	robustness_auc_targeted	0.03035714285714286	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	18	transitivity	0.5	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	19	largest_component_prop	0.5428571428571428	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	19	natural_connectivity	0.8618254008381565	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	19	robustness_auc_random	0.20107142857142857	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	19	robustness_auc_targeted	0.05464285714285714	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	19	transitivity	0.12295081967213116	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	19	largest_component_prop	0.2571428571428571	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	19	natural_connectivity	1.123773203611662	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	19	robustness_auc_random	0.09892857142857144	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	19	robustness_auc_targeted	0.03535714285714286	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	19	transitivity	0.4918032786885246	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	20	largest_component_prop	0.5285714285714286	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	20	natural_connectivity	0.7569477248381431	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	20	robustness_auc_random	0.16071428571428573	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	20	robustness_auc_targeted	0.05071428571428572	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	20	transitivity	0.02857142857142857	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	20	largest_component_prop	0.18571428571428572	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	20	natural_connectivity	1.432569226264091	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	20	robustness_auc_random	0.08035714285714286	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	20	robustness_auc_targeted	0.04071428571428572	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	20	transitivity	0.8292682926829269	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	21	largest_component_prop	0.5	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	21	natural_connectivity	0.8256591082186935	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	21	robustness_auc_random	0.17357142857142857	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	21	robustness_auc_targeted	0.04285714285714286	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	21	transitivity	0.04545454545454545	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	21	largest_component_prop	0.4	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	21	natural_connectivity	1.121250756547107	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	21	robustness_auc_random	0.1392857142857143	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	21	robustness_auc_targeted	0.03607142857142857	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	21	transitivity	0.39583333333333337	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	22	largest_component_prop	0.5285714285714286	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	22	natural_connectivity	0.8157137294653038	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	22	robustness_auc_random	0.10035714285714288	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	22	robustness_auc_targeted	0.05214285714285714	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	22	transitivity	0.10434782608695652	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	22	largest_component_prop	0.32857142857142857	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	22	natural_connectivity	0.8885988854674536	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	22	robustness_auc_random	0.08392857142857144	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	22	robustness_auc_targeted	0.04785714285714285	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	22	transitivity	0.375	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	23	largest_component_prop	0.6142857142857143	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	23	natural_connectivity	0.7864363508669694	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	23	robustness_auc_random	0.2	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	23	robustness_auc_targeted	0.04285714285714286	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	23	transitivity	0.04918032786885246	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	23	largest_component_prop	0.37142857142857144	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	23	natural_connectivity	1.2839867728934689	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	23	robustness_auc_random	0.11821428571428572	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	23	robustness_auc_targeted	0.04107142857142857	Robustness AUC
targeted removal
